iter,loss,phys,bc,shape,tip,block,EI_eff_Nmm2,k_p_N_per_kPa,val_total,val_shape,val_tip,val_block
64,11.274114608764648,1.2866086959838867,0.017110023647546768,0.3165721297264099,0.17401978373527527,0.0004566973075270653,1303.8463134765625,0.0011333177099004388,18.581100463867188,0.29688507318496704,0.6312992572784424,0.0017413944005966187
65,11.205483436584473,1.2319154739379883,0.017875850200653076,0.31621456146240234,0.17329193651676178,0.00046794675290584564,1302.74365234375,0.0011325316736474633,18.51858901977539,0.29682421684265137,0.6282138228416443,0.0017827337142080069
66,11.176142692565918,1.2791880369186401,0.012850375846028328,0.31585538387298584,0.17232763767242432,0.0004790497478097677,1301.6544189453125,0.0011317487806081772,18.388463973999023,0.2967663109302521,0.621744692325592,0.0018243815284222364
67,11.216270446777344,1.2865703105926514,0.01923106610774994,0.31549254059791565,0.17113184928894043,0.0004902348737232387,1300.5740966796875,0.0011309669353067875,18.273357391357422,0.29670244455337524,0.6160321831703186,0.0018664587987586856
68,11.111397743225098,1.250962257385254,0.01508286688476801,0.3151260018348694,0.1701035499572754,0.0005015366477891803,1299.5146484375,0.0011301960330456495,18.217510223388672,0.29663074016571045,0.613290548324585,0.0019084129016846418
69,11.183645248413086,1.3359203338623047,0.01632939837872982,0.31474700570106506,0.16921815276145935,0.0005128042539581656,1298.4432373046875,0.0011294105788692832,18.205347061157227,0.29655396938323975,0.6127375364303589,0.0019516460597515106
70,11.063642501831055,1.2574414014816284,0.014475896954536438,0.31436043977737427,0.16844947636127472,0.0005244144122116268,1297.3897705078125,0.0011286338558420539,18.19860076904297,0.2964702844619751,0.6124623417854309,0.001994870137423277
71,11.004081726074219,1.2505751848220825,0.011410892009735107,0.31396523118019104,0.16773661971092224,0.0005360237555578351,1296.34619140625,0.0011278704041615129,18.1080379486084,0.2963883578777313,0.6079946756362915,0.002037815051153302
72,10.993478775024414,1.254758596420288,0.012586258351802826,0.31356701254844666,0.1668020486831665,0.0005475573125295341,1295.3017578125,0.001127121620811522,17.967256546020508,0.29631277918815613,0.6010098457336426,0.0020803832449018955
73,11.00124740600586,1.2787721157073975,0.01371924951672554,0.3131648004055023,0.16581986844539642,0.0005589888896793127,1294.2572021484375,0.0011263747001066804,17.87942886352539,0.29623138904571533,0.5966784358024597,0.0021232813596725464
74,10.948298454284668,1.276113510131836,0.011242140084505081,0.3127494752407074,0.16495345532894135,0.0005705106304958463,1293.219970703125,0.0011256267316639423,17.835783004760742,0.2961452603340149,0.5945605039596558,0.0021666809916496277
75,10.908733367919922,1.2689404487609863,0.010640157386660576,0.31231847405433655,0.16406004130840302,0.0005821657250635326,1292.18310546875,0.0011248838854953647,17.784427642822266,0.29605570435523987,0.5920605063438416,0.0022102142684161663
76,10.843714714050293,1.2166022062301636,0.011939769610762596,0.31187760829925537,0.16321122646331787,0.0005938573158346117,1291.1632080078125,0.001124161877669394,17.666711807250977,0.2959641218185425,0.5862450003623962,0.0022529407870024443
77,10.815622329711914,1.2009053230285645,0.013296861201524734,0.31143420934677124,0.16235055029392242,0.0006053319084458053,1290.165771484375,0.001123462338000536,17.542646408081055,0.29586148262023926,0.5801234841346741,0.00229472853243351
78,10.838993072509766,1.2643083333969116,0.011597748845815659,0.31098484992980957,0.16164225339889526,0.0006165553350001574,1289.1614990234375,0.001122765359468758,17.504213333129883,0.2957453727722168,0.5782968997955322,0.0023367498070001602
79,10.806925773620605,1.2393195629119873,0.013036143034696579,0.31051984429359436,0.16102847456932068,0.0006278402870520949,1288.1597900390625,0.0011220792075619102,17.55950164794922,0.295604944229126,0.5811808705329895,0.0023784851655364037
80,10.770514488220215,1.2451450824737549,0.010699199512600899,0.3100370764732361,0.16056227684020996,0.0006390478229150176,1287.1610107421875,0.0011213984107598662,17.574254989624023,0.295457124710083,0.5820454359054565,0.0024202640634030104
81,10.745133399963379,1.2525708675384521,0.009246175177395344,0.30955275893211365,0.16012711822986603,0.0006502677570097148,1286.153076171875,0.001120724598877132,17.507810592651367,0.29530608654022217,0.5788534283638,0.0024619679898023605
82,10.681036949157715,1.2071301937103271,0.009488195180892944,0.30907079577445984,0.15954972803592682,0.000661467551253736,1285.14208984375,0.0011200759327039123,17.397926330566406,0.29514646530151367,0.5734986662864685,0.002502452814951539
83,10.688931465148926,1.2229290008544922,0.010816957801580429,0.30858954787254333,0.15896593034267426,0.0006723408587276936,1284.1402587890625,0.001119436346925795,17.34147071838379,0.2949613034725189,0.5708408951759338,0.0025426987558603287
84,10.642919540405273,1.2234140634536743,0.008157355710864067,0.30809667706489563,0.15845836699008942,0.0006831492064520717,1283.1485595703125,0.0011188029311597347,17.334339141845703,0.2947511672973633,0.5706743597984314,0.002582864835858345
85,10.65995979309082,1.2615183591842651,0.007871590554714203,0.30758944153785706,0.15804986655712128,0.0006939353188499808,1282.1417236328125,0.0011181673035025597,17.301185607910156,0.2945336401462555,0.5692138671875,0.0026234923861920834
86,10.558388710021973,1.1690483093261719,0.00854485109448433,0.30708953738212585,0.1577526032924652,0.0007048462866805494,1281.163330078125,0.0011175554245710373,17.194791793823242,0.2942965030670166,0.5641116499900818,0.0026629017665982246
87,10.607033729553223,1.221915364265442,0.010214068926870823,0.30659931898117065,0.15719182789325714,0.0007154297782108188,1280.1837158203125,0.0011169514618813992,17.082307815551758,0.2940429449081421,0.5587213635444641,0.002702092519029975
88,10.54071044921875,1.1986806392669678,0.007983793504536152,0.3061203062534332,0.15662629902362823,0.0007259552367031574,1279.2059326171875,0.0011163637973368168,17.063823699951172,0.29375433921813965,0.5580666065216064,0.0027404935099184513
89,10.502923965454102,1.1727561950683594,0.008505672216415405,0.30562201142311096,0.15626540780067444,0.0007362671894952655,1278.239990234375,0.0011157991830259562,17.08234405517578,0.293440043926239,0.5592883229255676,0.0027776542119681835
90,10.539246559143066,1.219414234161377,0.009020457044243813,0.30511024594306946,0.15599803626537323,0.0007462461944669485,1277.2557373046875,0.001115244347602129,17.04708480834961,0.2931123375892639,0.5578346848487854,0.0028144093230366707
91,10.46709156036377,1.171961784362793,0.008231187239289284,0.30460381507873535,0.15565906465053558,0.0007561158272437751,1276.287109375,0.0011147069744765759,16.90534210205078,0.29279500246047974,0.5510470271110535,0.002850228687748313
92,10.403059959411621,1.1364003419876099,0.007362459786236286,0.3041151762008667,0.15515373647212982,0.000765735749155283,1275.3251953125,0.0011142061557620764,16.797718048095703,0.29245230555534363,0.5459915995597839,0.00288382638245821
93,10.431044578552246,1.1866025924682617,0.006896915379911661,0.30360621213912964,0.15478003025054932,0.000774758867919445,1274.3604736328125,0.001113716745749116,16.7878475189209,0.292072594165802,0.5458613634109497,0.0029168501496315002
94,10.362105369567871,1.1511167287826538,0.005381077527999878,0.30306851863861084,0.154398575425148,0.0007836269214749336,1273.4073486328125,0.0011132484069094062,16.750484466552734,0.29168862104415894,0.5443612933158875,0.002948624547570944
95,10.377778053283691,1.1728545427322388,0.006128679029643536,0.3025323450565338,0.15425342321395874,0.000792158767580986,1272.453125,0.0011127936886623502,16.624095916748047,0.2913128733634949,0.5384020805358887,0.002979638520628214
96,10.362735748291016,1.1692246198654175,0.007225991692394018,0.3020178973674774,0.1536443829536438,0.000800488400273025,1271.507080078125,0.0011123487493023276,16.49691390991211,0.2909351885318756,0.5324053764343262,0.0030101430602371693
97,10.306405067443848,1.1503798961639404,0.005219035781919956,0.3015069365501404,0.15328045189380646,0.0008086799643933773,1270.570556640625,0.0011119202245026827,16.494173049926758,0.2905288338661194,0.5326598882675171,0.0030396697111427784
98,10.256072044372559,1.1260334253311157,0.004432543180882931,0.3009648323059082,0.15291251242160797,0.0008166099432855844,1269.657470703125,0.0011115120723843575,16.537765502929688,0.29010534286499023,0.5352489352226257,0.0030679204501211643
99,10.272400856018066,1.1377289295196533,0.006523136515170336,0.30040282011032104,0.1526571363210678,0.0008241954492405057,1268.7642822265625,0.0011111153289675713,16.48161506652832,0.2896941304206848,0.5328388810157776,0.003095510881394148
100,10.220100402832031,1.1154444217681885,0.005384642630815506,0.2998582720756531,0.15226639807224274,0.00083160464419052,1267.889892578125,0.0011107397731393576,16.37028694152832,0.2892816960811615,0.527671754360199,0.003121746703982353
101,10.228471755981445,1.1488540172576904,0.004733980167657137,0.299317330121994,0.1518772393465042,0.0008386507979594171,1267.0302734375,0.0011103673605248332,16.321258544921875,0.2888399660587311,0.5256490707397461,0.003147867973893881
102,10.192422866821289,1.1310995817184448,0.004771853797137737,0.29875466227531433,0.15150275826454163,0.0008456651121377945,1266.18310546875,0.0011100064730271697,16.326345443725586,0.2883737087249756,0.5263569355010986,0.0031732874922454357
103,10.152846336364746,1.1071622371673584,0.004995168186724186,0.2981724739074707,0.15118789672851562,0.0008524914155714214,1265.3597412109375,0.001109663280658424,16.300113677978516,0.2878935933113098,0.5255134105682373,0.0031975521706044674
104,10.108643531799316,1.0868157148361206,0.004289495758712292,0.2975849509239197,0.150932177901268,0.0008590079378336668,1264.570556640625,0.0011093405773863196,16.200542449951172,0.2874038815498352,0.5210130214691162,0.0032204515300691128
105,10.091367721557617,1.0841528177261353,0.004989536479115486,0.29700377583503723,0.1504296064376831,0.0008651574607938528,1263.8060302734375,0.001109039643779397,16.093399047851562,0.2868947982788086,0.5161541700363159,0.0032418882474303246
106,10.071023941040039,1.0881891250610352,0.004558958113193512,0.29641488194465637,0.15001192688941956,0.0008709136163815856,1263.073974609375,0.0011087522143498063,16.05793571472168,0.28633326292037964,0.5149323344230652,0.0032624166924506426
107,10.036642074584961,1.0777171850204468,0.0041646817699074745,0.2957920730113983,0.14963360130786896,0.0008764262311160564,1262.353271484375,0.0011084885336458683,16.047555923461914,0.28575241565704346,0.514984667301178,0.0032813160214573145
108,10.01511001586914,1.0807139873504639,0.0035969887394458055,0.29515135288238525,0.14932920038700104,0.0008815005421638489,1261.649169921875,0.0011082409182563424,15.965039253234863,0.28519362211227417,0.5114087462425232,0.0032991066109389067
109,9.979463577270508,1.0713837146759033,0.003102414309978485,0.2945253252983093,0.14888432621955872,0.0008862799732014537,1260.975830078125,0.001108005759306252,15.84077262878418,0.284650981426239,0.505729615688324,0.0033160503953695297
110,9.986475944519043,1.0933401584625244,0.003783749882131815,0.2939060926437378,0.14841343462467194,0.0008908275049179792,1260.295654296875,0.0011077863164246082,15.770148277282715,0.2840946316719055,0.5027468800544739,0.003331893589347601
111,9.93342399597168,1.06525456905365,0.003421090543270111,0.2932659387588501,0.14798443019390106,0.0008950834162533283,1259.626953125,0.001107586664147675,15.754645347595215,0.28351613879203796,0.5025429725646973,0.0033463500440120697
112,9.909461975097656,1.0642515420913696,0.0032261251471936703,0.29260024428367615,0.14759771525859833,0.000898965576197952,1258.9779052734375,0.0011074007488787174,15.713460922241211,0.2829381823539734,0.5010549426078796,0.003359833499416709
113,9.90762996673584,1.0742864608764648,0.004124991595745087,0.2919358015060425,0.14721761643886566,0.000902585859876126,1258.324462890625,0.0011072327615693212,15.62714958190918,0.2823854088783264,0.4972860813140869,0.00337204709649086
114,9.88473129272461,1.0720391273498535,0.004314968828111887,0.2912840247154236,0.1467401534318924,0.000905865803360939,1257.6783447265625,0.0011070751352235675,15.571900367736816,0.28180044889450073,0.49510276317596436,0.003383524715900421
115,9.840239524841309,1.0599201917648315,0.0031597965862601995,0.290613055229187,0.1463685780763626,0.000908947957213968,1257.033447265625,0.0011069347383454442,15.554969787597656,0.28118836879730225,0.49486321210861206,0.0033937692642211914
116,9.813188552856445,1.055436134338379,0.003216787474229932,0.2899181842803955,0.14590518176555634,0.0009116996079683304,1256.3846435546875,0.0011068154126405716,15.52567195892334,0.2805790901184082,0.4940032362937927,0.0034024748019874096
117,9.776775360107422,1.0477862358093262,0.0024990756064653397,0.2892221212387085,0.14552077651023865,0.000914037402253598,1255.737548828125,0.0011067164596170187,15.442245483398438,0.2799924314022064,0.49041497707366943,0.003409715835005045
118,9.775923728942871,1.0635420083999634,0.0032486598938703537,0.2885453402996063,0.14499136805534363,0.0009159812470898032,1255.0836181640625,0.0011066299630329013,15.365642547607422,0.2793910503387451,0.4871830642223358,0.0034160432405769825
119,9.729454040527344,1.0411269664764404,0.0031900554895401,0.28786471486091614,0.14449775218963623,0.0009176809689961374,1254.438232421875,0.0011065606959164143,15.333657264709473,0.27873820066452026,0.4862340986728668,0.0034211180172860622
120,9.699254035949707,1.0382591485977173,0.0027019958943128586,0.2871592342853546,0.14407998323440552,0.0009190432610921562,1253.8006591796875,0.0011065079597756267,15.304621696472168,0.2780545651912689,0.4854640066623688,0.003424983471632004
121,9.700944900512695,1.0545158386230469,0.0033997714053839445,0.28644680976867676,0.14371469616889954,0.0009200812201015651,1253.169921875,0.0011064596474170685,15.226694107055664,0.27738863229751587,0.48223182559013367,0.0034285257570445538
122,9.672778129577637,1.0534553527832031,0.00313133024610579,0.2857533097267151,0.14318662881851196,0.0009210330899804831,1252.532470703125,0.0011064246064051986,15.15173053741455,0.2767132818698883,0.4791576862335205,0.003431097138673067
123,9.620840072631836,1.020254135131836,0.003513622097671032,0.2850567698478699,0.14275483787059784,0.0009217236074618995,1251.8978271484375,0.0011064145946875215,15.114553451538086,0.2759876847267151,0.47802412509918213,0.0034318286925554276
