split,s_mm,s_over_L,p_kpa,x_mm,y_mm
val,41.004184100418406,0.20502092050209203,73.0,39.42834447224759,9.801953014672083
val,49.37238493723849,0.24686192468619247,73.0,46.72519858072535,13.893759405822738
val,57.74058577405857,0.28870292887029286,73.0,53.670127481554786,18.558425530868305
val,66.10878661087865,0.3305439330543933,73.0,60.24143493356295,23.73655467689684
val,74.47698744769875,0.37238493723849375,73.0,66.42645393560696,29.370768561193874
val,82.84518828451883,0.4142259414225941,73.0,72.220600691861,35.406510440752896
val,91.2133891213389,0.45606694560669453,73.0,77.62642851076292,41.79263604289812
val,99.58158995815899,0.49790794979079495,73.0,82.65270886637504,48.481814299111555
val,107.94979079497908,0.5397489539748954,73.0,87.31356024967113,55.43076077006906
val,116.31799163179916,0.5815899581589958,73.0,91.62763952217932,62.6003265011722
val,124.68619246861924,0.6234309623430963,73.0,95.61740530970243,69.95546410035838
val,133.05439330543933,0.6652719665271967,73.0,99.30845854678343,77.46509131190152
val,141.4225941422594,0.7071129707112971,73.0,102.72896157541717,85.10187046909063
val,149.7907949790795,0.7489539748953975,73.0,105.90913416187482,92.84192011205216
val,158.15899581589957,0.7907949790794979,73.0,108.8808223554378,100.66447289195335
val,166.52719665271965,0.8326359832635982,73.0,111.67713419617023,108.55149175966352
val,174.89539748953973,0.8744769874476986,73.0,114.33213480720713,116.48725444195689
val,183.2635983263598,0.9163179916317991,73.0,116.88059230448663,124.45791440731628
val,191.63179916317992,0.9581589958158996,73.0,119.3577651534988,132.45104496513864
val,200.0,1.0,73.0,121.79922103719112,140.45517186174112
val,0.0,0.0,80.0,-5.563075751324007e-15,-3.042828016050351e-23
val,7.531380753138075,0.03765690376569038,80.0,7.517867033577327,0.39109846643123336
val,15.899581589958158,0.0794979079497908,80.0,15.776659168498117,1.7133701051223587
val,24.26778242677824,0.1213389121338912,80.0,23.8458848027726,3.9155946340028156
val,32.63598326359833,0.16317991631799164,80.0,31.64691824294471,6.934193471619433
val,41.004184100418406,0.20502092050209203,80.0,39.115912473058,10.700859682313235
val,49.37238493723849,0.24686192468619247,80.0,46.203155517581784,15.144950546829152
val,57.74058577405857,0.28870292887029286,80.0,52.87216263398878,20.195527840914938
val,66.10878661087865,0.3305439330543933,80.0,59.09858797042877,25.783046489456517
val,74.47698744769875,0.37238493723849375,80.0,64.86902839228448,31.84070490373281
val,82.84518828451883,0.4142259414225941,80.0,70.17978070001288,38.30547944194196
val,91.2133891213389,0.45606694560669453,80.0,75.03560208097753,45.11887148461175
val,99.58158995815899,0.49790794979079495,80.0,79.44851283727066,52.227399058366814
val,107.94979079497908,0.5397489539748954,80.0,83.43667053362351,59.582866253237405
val,116.31799163179916,0.5815899581589958,80.0,87.02333590844823,67.14244332048843
val,124.68619246861924,0.6234309623430963,80.0,90.23594327561456,74.86858873249382
val,133.05439330543933,0.6652719665271967,80.0,93.10528172180386,82.72884200762974
val,141.4225941422594,0.7071129707112971,80.0,95.66478812110796,90.6955130721094
val,149.7907949790795,0.7489539748953975,80.0,97.94994875056467,98.74529061363653
val,158.15899581589957,0.7907949790794979,80.0,99.99780297778152,106.85878849382232
val,166.52719665271965,0.8326359832635982,80.0,101.84653997253513,115.0200459960399
val,174.89539748953973,0.8744769874476986,80.0,103.53517753390486,123.21599462082561
val,183.2635983263598,0.9163179916317991,80.0,105.10331079437987,131.43590139620656
val,191.63179916317992,0.9581589958158996,80.0,106.59091764505821,139.67079631219372
val,200.0,1.0,80.0,108.0382071194882,147.91288956261056
test,0.0,0.0,87.0,-4.360060191971255e-15,2.174811541647192e-23
test,7.531380753138075,0.03765690376569038,87.0,7.5154002305074945,0.42525014792409904
test,15.899581589958158,0.0794979079497908,87.0,15.75426750955559,1.861983136475902
test,24.26778242677824,0.1213389121338912,87.0,23.769290308009914,4.251504454481605
test,32.63598326359833,0.16317991631799164,87.0,31.468163228824505,7.520249696340057
test,41.004184100418406,0.20502092050209203,87.0,38.776512260296975,11.588662339126897
test,49.37238493723849,0.24686192468619247,87.0,45.63711557484557,16.37430195644716
test,57.74058577405857,0.28870292887029286,87.0,52.008754742641145,21.794485174500515
test,66.10878661087865,0.3305439330543933,87.0,57.86481542750594,27.76845725610552
test,74.47698744769875,0.37238493723849375,87.0,63.191740950226425,34.21911155799563
test,82.84518828451883,0.4142259414225941,87.0,67.98742539286566,41.07428801670526
test,91.2133891213389,0.45606694560669453,87.0,72.25961626589415,48.2676909377023
test,99.58158995815899,0.49790794979079495,87.0,76.02438096233134,55.739471437226946
test,107.94979079497908,0.5397489539748954,87.0,79.30467681357402,63.43652168214006
test,116.31799163179916,0.5815899581589958,87.0,82.12905185461281,71.31252732569799
